CodigoPedido	DocumentoCliente	CodigoCiudad	CodigoProducto	CantidadProducto	FechaPedido	HoraPedido
P00000984	101865495	14	A0002	3	6/04/18	10:00:00
P00000985	144862072	12	R0002	10	6/04/18	11:00:00
P00000986	367308571	11	R0001	1	6/04/18	12:00:00
P00000987	488922903	15	R0001	4	5/04/18	13:00:00
P00000988	514185742	14	C0003	6	5/04/18	14:00:00
P00000989	514185742	14	L0002	1	5/04/18	15:00:00
P00000991	526968621	11	H0003	2	5/04/18	16:00:00
P00000992	531216415	15	R0002	9	4/04/18	17:00:00
P00000993	541943328	20	A0003	3	4/04/18	18:00:00
P00000994	584406818	19	L0001	4	4/04/18	19:00:00
P00000995	590905225	25	C0002	6	4/04/18	20:00:00
P00000996	594715845	11	A0003	7	4/04/18	8:00:00
P00000997	602860789	11	G0002	2	4/04/18	9:00:00
P00000998	895756102	20	H0001	1	3/04/18	10:00:00
P00000999	902838222	23	A0001	4	4/04/18	11:00:00
P00000100	913356698	19	C0003	3	4/03/18	12:00:00
P00000101	916014037	21	G0001	5	4/03/18	13:00:00
P00000102	955349290	16	R0002	6	1/03/18	14:00:00
P00000103	956063523	18	H0002	7	1/03/18	15:00:00
P00000104	968262783	22	L0002	8	9/03/18	16:00:00
